round,client_id,reputation,malicious
1,0,1.0,0
1,1,1.0,0
1,2,1.0,0
1,3,0.65,1
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,1.0,0
1,8,1.0,0
1,9,1.0,0
1,10,1.0,0
1,11,1.0,0
1,12,1.0,0
1,13,0.7609722974092781,1
1,14,1.0,0
1,15,1.0,0
1,16,0.65,1
1,17,1.0,1
1,18,1.0,0
1,19,1.0,0
2,0,1.0,0
2,1,1.0,0
2,2,1.0,0
2,3,0.65,1
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,1.0,0
2,8,1.0,0
2,9,1.0,0
2,10,1.0,0
2,11,1.0,0
2,12,1.0,0
2,13,0.49463199331603075,1
2,14,1.0,0
2,15,1.0,0
2,16,0.42250000000000004,1
2,17,1.0,1
2,18,1.0,0
2,19,1.0,0
3,0,1.0,0
3,1,1.0,0
3,2,1.0,0
3,3,0.44778838204886706,1
3,4,1.0,0
3,5,1.0,0
3,6,1.0,0
3,7,1.0,0
3,8,1.0,0
3,9,1.0,0
3,10,1.0,0
3,11,1.0,0
3,12,1.0,0
3,13,0.32151079565542,1
3,14,1.0,0
3,15,1.0,0
3,16,0.42250000000000004,1
3,17,0.65,1
3,18,1.0,0
3,19,1.0,0
4,0,1.0,0
4,1,1.0,0
4,2,1.0,0
4,3,0.2910624483317636,1
4,4,1.0,0
4,5,1.0,0
4,6,1.0,0
4,7,1.0,0
4,8,1.0,0
4,9,1.0,0
4,10,1.0,0
4,11,1.0,0
4,12,1.0,0
4,13,0.32151079565542,1
4,14,1.0,0
4,15,1.0,0
4,16,0.27462500000000006,1
4,17,0.65,1
4,18,1.0,0
4,19,1.0,0
5,0,1.0,0
5,1,1.0,0
5,2,1.0,0
5,3,0.2910624483317636,1
5,4,1.0,0
5,5,1.0,0
5,6,1.0,0
5,7,1.0,0
5,8,1.0,0
5,9,1.0,0
5,10,0.65,0
5,11,1.0,0
5,12,1.0,0
5,13,0.20898201717602302,1
5,14,1.0,0
5,15,1.0,0
5,16,0.27462500000000006,1
5,17,0.65,1
5,18,1.0,0
5,19,1.0,0
6,0,1.0,0
6,1,1.0,0
6,2,1.0,0
6,3,0.18919059141564634,1
6,4,1.0,0
6,5,1.0,0
6,6,1.0,0
6,7,1.0,0
6,8,1.0,0
6,9,1.0,0
6,10,0.6675,0
6,11,1.0,0
6,12,1.0,0
6,13,0.13583831116441497,1
6,14,1.0,0
6,15,1.0,0
6,16,0.27462500000000006,1
6,17,0.65,1
6,18,1.0,0
6,19,1.0,0
7,0,1.0,0
7,1,1.0,0
7,2,1.0,0
7,3,0.12297388442017013,1
7,4,1.0,0
7,5,1.0,0
7,6,1.0,0
7,7,1.0,0
7,8,1.0,0
7,9,0.65,0
7,10,0.684125,0
7,11,1.0,0
7,12,1.0,0
7,13,0.13583831116441497,1
7,14,1.0,0
7,15,1.0,0
7,16,0.27462500000000006,1
7,17,0.65,1
7,18,1.0,0
7,19,1.0,0
8,0,1.0,0
8,1,1.0,0
8,2,1.0,0
8,3,0.12297388442017013,1
8,4,1.0,0
8,5,1.0,0
8,6,1.0,0
8,7,1.0,0
8,8,1.0,0
8,9,0.6675,0
8,10,0.684125,0
8,11,1.0,0
8,12,1.0,0
8,13,0.08829490225686973,1
8,14,1.0,0
8,15,1.0,0
8,16,0.27462500000000006,1
8,17,0.42250000000000004,1
8,18,1.0,0
8,19,1.0,0
9,0,1.0,0
9,1,1.0,0
9,2,1.0,0
9,3,0.12297388442017013,1
9,4,1.0,0
9,5,1.0,0
9,6,1.0,0
9,7,0.7202299478611265,0
9,8,1.0,0
9,9,0.6675,0
9,10,0.69991875,0
9,11,1.0,0
9,12,1.0,0
9,13,0.057391686466965325,1
9,14,1.0,0
9,15,1.0,0
9,16,0.21084469721684498,1
